"station_id","history_id","station_name","lon","lat","province","elev","freq","network_id","native_id"
6595,8648,"Fort Nelson Airport",-122.596944444444,58.8363888888889,"BC",381.9,"1-hourly",19,"1192940"
6595,8280,"Fort Nelson Airport",-122.597222222222,58.8363888888889,"BC",381.9,"1-hourly",19,"1192940"
6596,8587,"Fort St. John Airport",-120.740277777778,56.2383333333333,"BC",694.9,"1-hourly",19,"1183000"
6596,8554,"Fort St. John Airport",-120.740277777778,56.2383333333333,"BC",694.9,"1-hourly",19,"1183000"
6596,8640,"Fort St. John Airport",-120.740277777778,56.2380555555556,"BC",694.9,"daily",19,"1183000"
6596,8642,"Fort St. John Airport",-120.740277777778,56.2383333333333,"BC",694.9,"1-hourly",19,"1183000"
6596,8646,"Fort St. John Airport",-120.740277777778,56.2380555555556,"BC",694.9,"daily",19,"1183000"
6596,8591,"Fort St. John Airport",-120.740277777778,56.2380555555556,"BC",694.9,"daily",19,"1183000"
6596,8633,"Fort St. John Airport",-120.740277777778,56.2380555555556,"BC",694.9,"daily",19,"1183000"
6596,8570,"Fort St. John Airport",-120.740277777778,56.2383333333333,"BC",694.9,"1-hourly",19,"1183000"
6596,8655,"Fort St. John Airport",-120.740277777778,56.2380555555556,"BC",694.9,"daily",19,"1183000"
6596,8574,"Fort St. John Airport",-120.740277777778,56.2380555555556,"BC",694.9,"daily",19,"1183000"
6596,8617,"Fort St. John Airport",-120.740277777778,56.2380555555556,"BC",694.9,"daily",19,"1183000"
6596,8659,"Fort St. John Airport",-120.740277777778,56.2383333333333,"BC",694.9,"1-hourly",19,"1183000"
6596,8636,"Fort St. John Airport",-120.740277777778,56.2383333333333,"BC",694.9,"1-hourly",19,"1183000"
6596,8558,"Fort St. John Airport",-120.740277777778,56.2380555555556,"BC",694.9,"daily",19,"1183000"
6596,8562,"Fort St. John Airport",-120.740277777778,56.2383333333333,"BC",694.9,"1-hourly",19,"1183000"
6596,8608,"Fort St. John Airport",-120.740277777778,56.2380555555556,"BC",694.9,"daily",19,"1183000"
6596,8651,"Fort St. John Airport",-120.740277777778,56.2383333333333,"BC",694.9,"1-hourly",19,"1183000"
6596,8583,"Fort St. John Airport",-120.740277777778,56.2380555555556,"BC",694.9,"daily",19,"1183000"
6596,8578,"Fort St. John Airport",-120.740277777778,56.2383333333333,"BC",694.9,"1-hourly",19,"1183000"
6596,8566,"Fort St. John Airport",-120.740277777778,56.2380555555556,"BC",694.9,"daily",19,"1183000"
6596,8599,"Fort St. John Airport",-120.740277777778,56.2380555555556,"BC",694.9,"daily",19,"1183000"
6596,8620,"Fort St. John Airport",-120.740277777778,56.2383333333333,"BC",694.9,"1-hourly",19,"1183000"
6596,8596,"Fort St. John Airport",-120.740277777778,56.2383333333333,"BC",694.9,"1-hourly",19,"1183000"
6596,8628,"Fort St. John Airport",-120.740277777778,56.2383333333333,"BC",694.9,"1-hourly",19,"1183000"
6596,8604,"Fort St. John Airport",-120.740277777778,56.2383333333333,"BC",694.9,"1-hourly",19,"1183000"
6596,8624,"Fort St. John Airport",-120.740277777778,56.2380555555556,"BC",694.9,"daily",19,"1183000"
6596,8281,"Fort St. John Airport",-120.740277777778,56.2380555555556,"BC",694.9,"1-hourly",19,"1183000"
